Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by INDP - 4 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INDP - 4 Digit Level","Sugar Cane Growing","Sugar Manufacturing","Total",
"SA2 (UR)",
"Braidwood",0,0,0,
"Karabar",0,0,0,
"Queanbeyan",0,0,0,
"Queanbeyan - East",0,0,0,
"Queanbeyan Region",0,0,0,
"Queanbeyan West - Jerrabomberra",0,0,0,
"Bombala",0,0,0,
"Cooma",0,0,0,
"Cooma Region",0,0,0,
"Jindabyne - Berridale",0,0,0,
"Batemans Bay",0,0,0,
"Batemans Bay - South",0,0,0,
"Bega - Tathra",0,0,0,
"Bega-Eden Hinterland",0,0,0,
"Broulee - Tomakin",0,0,0,
"Deua - Wadbilliga",0,0,0,
"Eden",0,0,0,
"Eurobodalla Hinterland",0,0,0,
"Merimbula - Tura Beach",0,0,0,
"Moruya - Tuross Head",0,0,0,
"Narooma - Bermagui",0,0,0,
"Goulburn",0,0,0,
"Goulburn Region",0,0,0,
"Yass",0,0,0,
"Yass Region",0,0,0,
"Young",0,0,0,
"Young Region",0,0,0,
"Avoca Beach - Copacabana",0,0,0,
"Box Head - MacMasters Beach",0,0,0,
"Calga - Kulnura",0,0,0,
"Erina - Green Point",0,0,0,
"Gosford - Springfield",0,0,0,
"Kariong",0,0,0,
"Kincumber - Picketts Valley",0,0,0,
"Narara",0,0,0,
"Niagara Park - Lisarow",0,0,0,
"Point Clare - Koolewong",0,0,0,
"Saratoga - Davistown",0,0,0,
"Terrigal - North Avoca",0,0,0,
"Umina - Booker Bay - Patonga",0,0,0,
"Wamberal - Forresters Beach",0,0,0,
"Woy Woy - Blackwall",0,0,0,
"Wyoming",0,0,0,
"Bateau Bay - Killarney Vale",0,0,0,
"Blue Haven - San Remo",0,0,0,
"Budgewoi - Buff Point - Halekulani",0,0,0,
"Chittaway Bay - Tumbi Umbi",0,0,0,
"Gorokan - Kanwal - Charmhaven",0,0,0,
"Jilliby - Yarramalong",0,0,0,
"Lake Munmorah - Mannering Park",0,0,0,
"Ourimbah - Fountaindale",0,0,0,
"Summerland Point - Gwandalan",0,0,0,
"The Entrance",0,0,0,
"Toukley - Norah Head",0,0,0,
"Tuggerah - Kangy Angy",0,0,0,
"Warnervale - Wadalba",0,0,0,
"Wyong",0,0,0,
"Bathurst",0,0,0,
"Bathurst - East",0,0,0,
"Bathurst Region",0,0,0,
"Oberon",0,0,0,
"Condobolin",0,0,0,
"Cowra",0,0,0,
"Cowra Region",0,0,0,
"Forbes",0,0,0,
"Grenfell",0,0,0,
"Parkes (NSW)",0,0,0,
"Parkes Region",0,0,0,
"West Wyalong",0,0,0,
"Lithgow",0,0,0,
"Lithgow Region",0,0,0,
"Mudgee",0,0,0,
"Mudgee Region - East",0,0,0,
"Mudgee Region - West",0,0,0,
"Wollangambe - Wollemi",0,0,0,
"Blayney",0,0,0,
"Orange",0,0,0,
"Orange - North",0,0,0,
"Orange Region",0,0,0,
"Grafton",0,3,3,
"Grafton Region",52,30,83,
"Maclean - Yamba - Iluka",57,81,142,
"Bellingen",0,0,0,
"Coffs Harbour - North",0,0,0,
"Coffs Harbour - South",0,0,0,
"Coramba - Nana Glen - Bucca",0,0,0,
"Dorrigo",0,0,0,
"Korora - Emerald Beach",0,0,0,
"Sawtell - Boambee",0,0,0,
"Urunga",0,0,0,
"Woolgoolga - Arrawarra",0,0,0,
"Bourke - Brewarrina",0,0,0,
"Cobar",0,0,0,
"Coonamble",0,0,0,
"Nyngan - Warren",0,0,0,
"Walgett - Lightning Ridge",0,0,0,
"Broken Hill",0,0,0,
"Far West",0,0,0,
"Coonabarabran",0,0,0,
"Dubbo - East",0,0,0,
"Dubbo - South",0,0,0,
"Dubbo - West",0,0,0,
"Dubbo Region",0,0,0,
"Gilgandra",0,0,0,
"Narromine",0,0,0,
"Wellington",0,0,0,
"Branxton - Greta - Pokolbin",0,0,0,
"Cessnock",0,0,0,
"Cessnock Region",0,0,0,
"Dungog",0,0,0,
"Kurri Kurri - Abermain",0,0,0,
"Singleton",0,0,0,
"Singleton Region",0,0,0,
"Maitland",0,0,0,
"Maitland - East",0,0,0,
"Maitland - North",0,0,0,
"Maitland - West",0,0,0,
"Thornton - Millers Forest",0,0,0,
"Anna Bay",0,0,0,
"Lemon Tree Passage - Tanilba Bay",0,0,0,
"Nelson Bay Peninsula",0,0,0,
"Raymond Terrace",0,0,0,
"Seaham - Woodville",0,0,0,
"Tea Gardens - Hawks Nest",0,0,0,
"Williamtown - Medowie - Karuah",0,0,0,
"Muswellbrook",0,0,0,
"Muswellbrook Region",0,0,0,
"Scone",0,0,0,
"Scone Region",0,0,0,
"Dapto - Avondale",0,0,0,
"Horsley - Kembla Grange",0,0,0,
"Port Kembla Industrial",0,0,0,
"Unanderra - Mount Kembla",0,0,0,
"Berkeley - Lake Heights - Cringila",0,0,0,
"Port Kembla - Warrawong",0,0,0,
"Windang - Primbee",0,0,0,
"Illawarra Catchment Reserve",0,0,0,
"Albion Park - Macquarie Pass",0,0,0,
"Albion Park Rail",0,0,0,
"Kiama",0,0,0,
"Kiama Downs - Minnamurra",0,0,0,
"Kiama Hinterland - Gerringong",0,0,0,
"Shellharbour - Flinders",0,0,0,
"Shellharbour - Oak Flats",0,0,0,
"Warilla",0,0,0,
"Balgownie - Fairy Meadow",0,0,0,
"Corrimal - Tarrawanna - Bellambi",0,0,0,
"Figtree - Keiraville",0,0,0,
"Helensburgh",0,0,0,
"Thirroul - Austinmer - Coalcliff",0,0,0,
"Woonona - Bulli - Russell Vale",0,0,0,
"Wollongong - East",0,0,0,
"Wollongong - West",0,0,0,
"Bulahdelah - Stroud",0,0,0,
"Forster",0,0,0,
"Forster-Tuncurry Region",0,0,0,
"Tuncurry",0,0,0,
"Kempsey",0,0,0,
"Kempsey Region",0,0,0,
"Macksville - Scotts Head",0,0,0,
"Nambucca Heads",0,0,0,
"Nambucca Heads Region",0,0,0,
"South West Rocks",0,0,0,
"Lord Howe Island",0,0,0,
"Laurieton - Bonny Hills",0,0,0,
"Port Macquarie - East",0,0,0,
"Port Macquarie - West",0,0,0,
"Port Macquarie Region",0,0,0,
"Wauchope",0,0,0,
"Gloucester",0,0,0,
"Old Bar - Manning Point - Red Head",0,0,0,
"Taree",0,0,0,
"Taree Region",0,0,0,
"Wingham",0,0,0,
"Albury - East",0,0,0,
"Albury - North",0,0,0,
"Albury - South",0,0,0,
"Albury Region",0,0,0,
"Lavington",0,0,0,
"Hay",0,0,0,
"Wentworth - Buronga",0,0,0,
"Wentworth-Balranald Region",0,0,0,
"Corowa",0,0,0,
"Corowa Region",0,0,0,
"Deniliquin",0,0,0,
"Deniliquin Region",0,0,0,
"Moama",0,0,0,
"Tocumwal - Finley - Jerilderie",0,0,0,
"Armidale",0,0,0,
"Armidale Region - North",0,0,0,
"Armidale Region - South",0,0,0,
"Walcha",0,0,0,
"Glen Innes",0,0,0,
"Inverell",0,0,0,
"Inverell Region - East",0,0,0,
"Inverell Region - West",0,0,0,
"Tenterfield",0,0,0,
"Moree",0,0,0,
"Moree Region",0,0,0,
"Narrabri",0,0,0,
"Narrabri Region",0,0,0,
"Gunnedah",0,0,0,
"Gunnedah Region",0,0,0,
"Quirindi",0,0,0,
"Tamworth - East",0,0,0,
"Tamworth - North",0,0,0,
"Tamworth - West",0,0,0,
"Tamworth Region",0,0,0,
"Belmont - Bennetts Green",0,0,0,
"Belmont South - Blacksmiths",0,0,0,
"Charlestown - Dudley",0,0,0,
"Glendale - Cardiff - Hillsborough",0,0,0,
"Mount Hutton - Windale",0,0,0,
"Redhead",0,0,0,
"Swansea - Caves Beach",0,0,0,
"Valentine - Eleebana",0,0,0,
"Warners Bay - Boolaroo",0,0,0,
"Bolton Point - Teralba",0,0,0,
"Bonnells Bay - Silverwater",0,0,0,
"Edgeworth - Cameron Park",0,0,0,
"Morisset - Cooranbong",0,0,0,
"Toronto - Awaba",0,0,0,
"Wangi Wangi - Rathmines",0,0,0,
"West Wallsend - Barnsley - Killingworth",0,0,0,
"Adamstown - Kotara",0,0,0,
"Beresfield - Hexham",0,0,0,
"Hamilton - Broadmeadow",0,0,0,
"Lambton - New Lambton",0,0,0,
